_ - _ - id,_ - _ - active,_ - _ - subtype,_ - _ - place_name,_ - _ - subcategory,_ - _ - place_address,_ - _ - place_type_id,_ - _ - place_latitude,_ - _ - place_longitude,_ - _ - place_type_name
E09367,1,estacion,"E09367 · Gasolinera de Villa Hidalgo, S.A. de C.V.",Estación,"Carretera San Blas-Guadalupe Victoria Km 15+200, Col. S/C",3,21.665488,-105.327969,estacion
E09549,1,estacion,"E09549 · Grupo Octano, S.A. de C.V.",Estación,"Carretera San Bkas  Santa Cruz Km. 13, Col. Sc",3,21.473901,-105.194671,estacion
E05386,1,estacion,"E05386 · Grupo Altamirano Monroy, SA de CV",Estación,"Av. Mexico Esq. Con Insurgentes S/N, Col. Centro",3,21.504306,-104.894297,estacion
E08242,1,estacion,E08242 · Gasolineras Rey Nayar S.A. de C.V.,Estación,"Av. de Los Insurgentes No. 2171 Oriente, Col. Gustavo Diaz Ordaz",3,21.485347,-104.876272,estacion
E11147,1,estacion,"E11147 · Grupo Octano, S.A. de C.V.",Estación,"Av. Tecnologico No. 4728, Col. Puente de San Cayetano",3,21.470108,-104.848896,estacion
E03775,1,estacion,E03775 · Maria Jorge Hernandez Oropeza,Estación,"Km.102+300 Entronque Carr. Teocaltiche, Col. .",3,21.646196,-102.278233,estacion
E10739,1,estacion,"E10739 · Unidad de Gasolineras, S.A. de C.V.",Estación,"Carretera  Panamericana  Sur Km. 115+333, Col. Sc",3,21.757759,-102.278129,estacion
E01099,1,estacion,"E01099 · Servicios Villalobos, S.A.",Estación,"Km 526 Carretera Panamericana, Col. .",3,21.834805,-102.289780,estacion
E11043,1,estacion,"E11043 · Plaza Gas, S.A. de C.V.",Estación,"Av. Siglo Xxi 1713, Col. Ex-Hacienda la Cantera",3,21.851590,-102.352992,estacion
E08489,1,estacion,"E08489 · Combu Express, S.A. de C.V.",Estación,"Av. las Garzas No. 20, Col. Fraccionamiento Garza Rosas",3,21.030860,-105.255690,estacion
E02380,1,estacion,E02380 · Patricia Isabel Ortiz Monroy,Estación,"Km 2 Carrt. Compostela-Puerto Vallarta, Col. S/D",3,21.242690,-104.908160,estacion
E04144,1,estacion,"E04144 · Servicio Apolo, SA de CV",Estación,"Libram.Carr.No.421 Ote. Entr.Call.Prol.Paraiso y P, Col. Fracc. Castilla",3,21.466520,-104.8791,estacion
E03164,1,estacion,"E03164 · Combu Express, S.A. de C.V.",Estación,"Km 175.3 Carret. Guadalajara-Nogales, Col. .",3,21.188315,-104.634891,estacion
E08882,1,estacion,E08882 · Servicio Gasolinero de Ixtlan SA de CV,Estación,"Prolongacion Moctezuma # 209, Col. Everardo Pena Navarro",3,21.038540,-104.372740,estacion
E05138,1,estacion,E05138 · Roberto Lopez Orozco,Estación,"Carret. Guadalajara-Saltillo Km 148, Col. .",3,21.522003,-103.406552,estacion
E03380,1,estacion,"E03380 · Lizarde y Compañia, SA de CV",Estación,"Salida Carr Aguascalientes, Col. .",3,21.188770,-102.885321,estacion
E07206,1,estacion,E07206 · Fernando Legazpi Mejia,Estación,"Morelos # 185, Col. S/C",3,21.148280,-102.680190,estacion
E06696,1,estacion,E06696 · Servicios San Jose S.A. de C.V.,Estación,"Carrt. San Miguel # 67, Col. S/D",3,21.153560,-102.462550,estacion
E01540,1,estacion,"E01540 · Servicio Alcalde, S.A. de C.V.",Estación,"Av. Alcalde No. 1005, Col. .",3,20.692253,-103.348522,estacion
E12198,1,estacion,"E12198 · Adxiem Derivados, S.A. de C.V.",Estación,"Calzada Independencia No. 1777, 1782 y 1791, Col. Independencia",3,20.701883,-103.327777,estacion
E10751,1,estacion,E10751 · Gerardo Servin Martinez,Estación,"Eutimio Pinzon No. 845, Col. Flores Magon",3,20.717081,-103.328853,estacion
E09860,1,estacion,"E09860 · Dara Servicios, S.A. de C.V.",Estación,"Timoteo Torres No. 2496, Col. Villa de Guadalupe",3,20.756988,-103.3428,estacion
E02876,1,estacion,"E02876 · Energeticos Plus, S.A. de C.V.",Estación,"Av.Patria No. 1201,Fracc.Lomas Del Valle 3a.Secc., Col. .",3,20.691440,-103.415893,estacion
E08423,1,estacion,"E08423 · Gasolina y Diesel de Occidente, S.A. de C.V.",Estación,"Calle Pino Suarez No. 587, Col. Centro",3,20.728076,-103.390580,estacion
E08799,1,estacion,"E08799 · Gaxco Obelisco, S.A. de C.V.",Estación,"Av. Manuel Avila Camacho No. 3250, Col. Seattle",3,20.716045,-103.380255,estacion
